SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,BONUSES PAID (2018-19),ASST PAY TOTAL,SCHOOL BUYOUT AS OF 12/1/19
Air Force,MWC,Troy Calhoun,0,0,0,0,0,0
Akron,MAC,Tom Arth,500000,500000,120000,0,963000,1275000
Alabama,SEC,Nick Saban,8707000,8857000,1100000,875000,7541277,34100000
Appalachian State,S-Belt,Eliah Drinkwitz,750000,750000,315000,0,1144990,1735417
Arizona,Pac-12,Kevin Sumlin,1600000,2000000,2025000,0,2990000,10000000
Arizona State,Pac-12,Herm Edwards,2250000,2380000,3967500,50000,4035000,6937500
Arkansas,SEC,Chad Morris,4000000,4000000,1200000,0,4925000,10004167
Arkansas State,S-Belt,Blake Anderson,825000,825182,185000,25000,1183300,500000
Army,INDEP,Jeff Monken,0,0,0,0,0,0
Auburn,SEC,Gus Malzahn,6800000,6827589,1400000,125000,5902500,27050000
Ball State,MAC,Mike Neu,444403,444403,380000,5000,984832,555503
Baylor,Big 12,Matt Rhule,4108734,4113734,0,0,1052253,0
Boise State,MWC,Bryan Harsin,1750000,1750000,1185000,195000,2127135,8201924
Boston College,ACC,Steve Addazio,2643012,2643012,0,0,0,0
Bowling Green,MAC,Scot Loeffler,530000,530000,190000,0,925860,2143750
Brigham Young,INDEP,Kalani Sitake,0,0,0,0,0,0
Buffalo,MAC,Lance Leipold,615000,615000,430000,40000,1148761,1898750
California,Pac-12,Justin Wilcox,2850000,2854000,900000,425000,4084100,13608334
Central Florida,AAC,Josh Heupel,2300000,2300000,250000,810010,2837000,4862500
Central Michigan,MAC,Jim McElwain,640900,640900,415000,0,965000,2000000
Charlotte,CUSA,Will Healy,700000,700000,1365000,0,1220500,1875000
Cincinnati,AAC,Luke Fickell,2300000,2300000,625000,210000,2710000,4800000
Clemson,ACC,Dabo Swinney,9255000,9315600,1125000,1075000,7410000,50000000
Coastal Carolina,S-Belt,Jamey Chadwell,360000,360000,800000,0,1162371,1053125
Colorado,Pac-12,Mel Tucker,2400000,2400000,1525000,0,3155000,9800000
Colorado State,MWC,Mike Bobo,1800000,1800000,905000,0,1949875,5500000
Connecticut,AAC,Randy Edsall,1606000,1606000,650000,56000,1810875,0
Duke,ACC,David Cutcliffe,2669345,2669345,0,0,0,0
East Carolina,AAC,Mike Houston,1425000,1425000,770000,0,1788950,2000000
Eastern Michigan,MAC,Chris Creighton,470000,470000,335000,35000,1011515,950000
Florida,SEC,Dan Mullen,6070000,6070000,925000,400000,5752000,12000000
Florida Atlantic,CUSA,Lane Kiffin,1432000,1432000,1350000,0,1255000,4070000
Florida International,CUSA,Butch Davis,992250,992250,550000,35000,1661122,2025844
Florida State,ACC,Willie Taggart,5000000,5000000,1475000,0,5106583,17708333
Fresno State,MWC,Jeff Tedford,1615420,1615420,2765000,1265000,2000000,5517253
Georgia,SEC,Kirby Smart,6703600,6871600,1150000,275000,6212935,24239584
Georgia Southern,S-Belt,Chad Lunsford,680000,680000,424000,20000,1350000,856667
Georgia State,S-Belt,Shawn Elliott,594000,594000,220000,10000,1260000,1083333
Georgia Tech,ACC,Geoff Collins,3000000,3000000,1300000,0,3205000,20350000
Hawaii,MWC,Nick Rolovich,600004,600004,1287500,20000,0,1310429
Houston,AAC,Dana Holgorsen,3700000,3700000,730000,0,2925000,13208333
Illinois,Big Ten,Lovie Smith,4000000,4000000,1000000,37500,3446000,4681818
Indiana,Big Ten,Tom Allen,1805000,1805000,1566668,125000,3693922,1500000
Iowa,Big Ten,Kirk Ferentz,4800000,4800000,2875000,825000,4710600,21571250
Iowa State,Big 12,Matt Campbell,3600000,3600000,750000,50000,4236600,19800000
Kansas,Big 12,Les Miles,2775000,2775000,650000,0,3515000,11331250
Kansas State,Big 12,Chris Klieman,2300000,2300000,550000,0,3475700,6000000
Kent State,MAC,Sean Lewis,440000,440000,406000,15000,879567,920000
Kentucky,SEC,Mark Stoops,4750000,4763600,2750000,1050000,5147350,22703125
Liberty,INDEP,Hugh Freeze,0,0,0,0,0,0
Louisiana State,SEC,Ed Orgeron,4000000,4000000,1975000,225000,6645000,7750000
Louisiana Tech,CUSA,Skip Holtz,700000,704000,395000,25000,1213000,2508333
Louisville,ACC,Scott Satterfield,3250000,3250000,975000,0,3820000,12390625
Marshall,CUSA,Doc Holliday,762570,787820,145000,55000,1147000,1196208
Maryland,Big Ten,Mike Locksley,2500000,2500000,775000,0,3690000,7502084
Massachusetts,INDEP,Walt Bell,635000,635000,620000,0,1051300,2540000
Memphis,AAC,Mike Norvell,2660000,2660000,775000,160000,2540000,6748000
Miami,ACC,Manny Diaz,0,0,0,0,0,0
Miami (Ohio),MAC,Chuck Martin,533360,533360,592187,21764,1099612,531746
Michigan,Big Ten,Jim Harbaugh,7504000,7504000,1325000,350000,6005000,11687500
Michigan State,Big Ten,Mark Dantonio,4399437,4399437,650000,75000,4902552,7000000
Middle Tennessee,CUSA,Rick Stockstill,901504,913504,134475,70142,1299850,6642107
Minnesota,Big Ten,P.J. Fleck,3600000,3600000,900000,175000,3055000,9291667
Mississippi,SEC,Matt Luke,3100000,3100000,3050000,250000,5475000,0
Mississippi State,SEC,Joe Moorhead,3050000,3050000,1350000,75000,3680000,0
Missouri,SEC,Barry Odom,3050000,3050000,1855000,425000,4729500,2362500
Navy,AAC,Ken Niumatalolo,2316000,2316000,0,0,0,0
NC State,ACC,Dave Doeren,3250000,3250000,1350000,200000,3795000,6635417
Nebraska,Big Ten,Scott Frost,5000000,5000000,950000,0,4475000,20416667
Nevada,MWC,Jay Norvell,500000,500000,210000,25000,1472524,600000
New Mexico,MWC,Bob Davie,822690,823740,340000,0,1506115,880604
New Mexico State,INDEP,Doug Martin,422000,422000,220000,10000,862501,1112167
North Carolina,ACC,Mack Brown,3500000,3500000,1000000,0,4075000,3093750
North Texas,CUSA,Seth Littrell,1865000,1865500,580000,95000,1775000,5062500
Northern Illinois,MAC,Thomas Hammock,610000,610000,540000,10000,1030000,1628900
Northwestern,Big Ten,Pat Fitzgerald,5144937,5144937,0,0,0,0
Notre Dame,INDEP,Brian Kelly,1665020,1665020,0,0,0,0
Ohio,MAC,Frank Solich,654928,654928,345022,61533,1069963,53918
Ohio State,Big Ten,Ryan Day,4500000,4500000,800000,0,7245000,18750000
Oklahoma,Big 12,Lincoln Riley,6384462,6384462,950000,205000,5835000,21013333
