SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,BONUSES PAID (2018-19),ASST PAY TOTAL,SCHOOL BUYOUT AS OF 12/1/19
Alabama,SEC,Nick Saban,8707000,8857000,1100000,875000,7541277,34100000
Arkansas,SEC,Chad Morris,4000000,4000000,1200000,0,4925000,10004167
Auburn,SEC,Gus Malzahn,6800000,6827589,1400000,125000,5902500,27050000
Florida,SEC,Dan Mullen,6070000,6070000,925000,400000,5752000,12000000
Georgia,SEC,Kirby Smart,6703600,6871600,1150000,275000,6212935,24239584
Kentucky,SEC,Mark Stoops,4750000,4763600,2750000,1050000,5147350,22703125
Louisiana State,SEC,Ed Orgeron,4000000,4000000,1975000,225000,6645000,7750000
Mississippi,SEC,Matt Luke,3100000,3100000,3050000,250000,5475000,0
Mississippi State,SEC,Joe Moorhead,3050000,3050000,1350000,75000,3680000,0
Missouri,SEC,Barry Odom,3050000,3050000,1855000,425000,4729500,2362500
South Carolina,SEC,Will Muschamp,4400000,4400000,1400000,175000,5635000,19437500
Tennessee,SEC,Jeremy Pruitt,3846000,3846000,1200000,50000,6985000,9500000
Texas A&M,SEC,Jimbo Fisher,7500000,7500000,1500000,250000,7145215,60625000
Vanderbilt,SEC,Derek Mason,3368244,3368244,0,0,0,0
