Name,Stage Name,Birth Year,Birth Month,Birth Date,Sex,Nationality,Talents,Fun Fact
Abel Makkonen Tesfaye,The Weeknd,1990,2,16,M,Canadian,singer;songwriter;record;producer,"He has won three Grammy Awards, eight Billboard"
Gabriella 'Gabi' Wilson,H.E.R.,1997,6,27,F,American,singer;songwriter,From Vallejo
Khalid Donnel Robinson,Khalid,1998,2,11,M,American,singer;songwriter,"His debut single, ""Location"", was released in July 2016"
Alicia Augello Cook,Alicia Keys,1981,1,25,F,American,musician;singer;songwriter,A classically-trained pianist
Miguel Jontel Pimentel,Miguel,1985,10,23,M,American,singer;songwriter;record;producer,"Raised in San Pedro, California, he began pursuing a music career at age thirteen."
Kehlani Ashley Parrish,Kehlani,1995,4,24,F,American,singer;songwriter;dancer,"Signed to Atlantic Records. Kehlani is originally from Oakland, California."
John Roger Stephens,John Legend,1978,12,28,M,American,singer;songwriter;producer;actor;philanthropist,"Prior to the release of Legend's debut album, Get Lifted, (2004) he had collaborated with already established artists and signed to Kanye West's GOOD Music."
Brandon Paak Anderson,Anderson Paak,1986,2,8,M,American,musician;record;producer,"From Oxnard, California"
Jhené Aiko Efuru Chilombo,Jhené Aiko,,,,F,American,singer;songwriter,Born and raised in Los Angeles
Normani Kordei Hamilton,Normani,1996,5,31,F,American,singer;songwriter;dancer,She is a former member of the girl group Fifth Harmony
Teyana Me Shay Jacqueli Taylor,Teyana Taylor,1990,12,10,F,American,singer;actress;dancer;model,"From Harlem, New York City"
Janelle Monáe Robinson,Janelle Monáe,1985,12,1,F,American,singer;songwriter;rapper;actress;producer,"Signed to Atlantic Records, as well as her own imprint."
Ricardo Valdez Valentine,6LACK,1992,6,24,M,American,singer;songwriter;rapper,"From Atlanta, GA"
Jorja Smith,Jorja Smith,1997,6,11,F,English,singer,"From Walsall, West Midlands. She has independently released numerous singles and one extended play"
Ella Mai Howell,Ella Mai,1994,11,3,F,English,singer;songwriter,She is signed to DJ Mustard's label 10 Summers Records and has released three extended plays.
