Artist,Title,Mix,BPM,Label,Year
"112","Dance With Me",Club Mix,96,Bad Boy,2001
"112","Only You",,96,,
"112 ft. Slim & Mike","Tonight",PO Clean Edit,82,PO Clean Edit,2019
"2xl","Magic City",,83,,
"4EY The Future ft. Wale","No Time To Waste",,75,eOne,2016
"6LACK","PRBLMS",Quick Edit,52,LVRN/Interscope,2017
"8Eight","Pree",DJ Tosh Intro Edit,91,Grammi Society,2017
"8Eight","Pree",DJ Tosh Mixshow Clean Edit,91,Grammi Society,2017
"Aaliyah","Are You That Somebody?",,69,Atlantic Records,1998
"Aaliyah","Back & Forth",,93,Jive Records,1994
"Aaliyah","I Don't Wanna",,65,Priority Records,2000
"Aaliyah","One In A Million",Dj Squeeze Mix,77,,2001
"Aaliyah","One In A Million",Nitebreed Mongoloidic Dub,126,Atlantic Records,1997
"112","Hot And Wet",Hot And Wet,104,Bad Boy/ Def Jam,2003
"112 ft. Slim & Mike","Tonight",PO Quick Edit,82,PO Quick Edit,2019
"112 ft. Slim & Mike","Tonight",PO Intro Edit,82,PO Intro Edit,2019
"4 Cause","Stand By Me",Radio Edit,95,,1998
"88rising ft. Joji, AUGUST 08 & Rich Brian","Midsummer Madness",Clean Edit,90,Clean Edit,2018
"8Eight","Pree",DJ Tosh Quick Edit,91,Grammi Society,2017
"Aaliyah","4 Page Letter",Remix,60,Blackground/atlantic Records,1997
"Aaliyah","At Your Best",,78,Jive/blackground Records,1994
"Aaliyah","Come Over",,55,Universal Records,2003
"Aaliyah","More Than A Woman",Richie Santana Club Mix,130,Blackground/virgin Records,2002
"Aaliyah","One In A Million",Incredible B-boy Orchestra,122,Atlantic Records,1997
"Aaliyah","The One I Gave My Heart To",Soul Solution Club Mix,129,Blackground Ent./ Atlantic Recording Group,1998
"Aaliyah","The One I Gave My Heart To",,128,Atlantic Recording Group,1998
"Abysse","Vautours",Radio Edit,64,,2003
"A.CHAL ft. 2 Chainz & Nicky Jam","Love N Hennessy",PO Clean Edit - Remix,70,PO Clean Edit - Remix,2018
"Adrian Marcel","2AM",Clean,102,L7/Universal Republic,2014
"Adrian Marcel","Spending The Night Alone",,72,L7/Republic,2014
"Adrian Marcel","Take Your Time", Quick Edit,82,L7/Republic,2015
